Date : 2022-06-29 23:46:36
Directory : c:\xampp\htdocs\shopbanhanglaravel
Total : 625 files,  94132 codes, 6640 comments, 10523 blanks, all 111295 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\backend\ckeditor\plugins\exportpdf\tests\manual                                                                |         28 |        625 |          0 |        267 |        892 |
| public\backend\ckeditor\plugins\exportpdf\tests\manual\integrations                                                   |          2 |         37 |          0 |         18 |         55 |
| public\backend\ckeditor\plugins\find                                                                                  |          1 |         21 |          4 |          0 |         25 |
| public\backend\ckeditor\plugins\find\dialogs                                                                          |          1 |         21 |          4 |          0 |         25 |
| public\backend\ckeditor\plugins\forms                                                                                 |          8 |         50 |         32 |          0 |         82 |
| public\backend\ckeditor\plugins\forms\dialogs                                                                         |          8 |         50 |         32 |          0 |         82 |
| public\backend\ckeditor\plugins\iframe                                                                                |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\iframe\dialogs                                                                        |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\image                                                                                 |          1 |         40 |          4 |          0 |         44 |
| public\backend\ckeditor\plugins\image\dialogs                                                                         |          1 |         40 |          4 |          0 |         44 |
| public\backend\ckeditor\plugins\imagebase                                                                             |          1 |          8 |          0 |          2 |         10 |
| public\backend\ckeditor\plugins\imagebase\styles                                                                      |          1 |          8 |          0 |          2 |         10 |
| public\backend\ckeditor\plugins\link                                                                                  |          2 |         30 |          8 |          0 |         38 |
| public\backend\ckeditor\plugins\link\dialogs                                                                          |          2 |         30 |          8 |          0 |         38 |
| public\backend\ckeditor\plugins\liststyle                                                                             |          1 |          6 |          4 |          0 |         10 |
| public\backend\ckeditor\plugins\liststyle\dialogs                                                                     |          1 |          6 |          4 |          0 |         10 |
| public\backend\ckeditor\plugins\pastefromgdocs                                                                        |          1 |          4 |          4 |          0 |          8 |
| public\backend\ckeditor\plugins\pastefromgdocs\filter                                                                 |          1 |          4 |          4 |          0 |          8 |
| public\backend\ckeditor\plugins\pastefromlibreoffice                                                                  |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\pastefromlibreoffice\filter                                                           |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\pastefromword                                                                         |          1 |         38 |          4 |          0 |         42 |
| public\backend\ckeditor\plugins\pastefromword\filter                                                                  |          1 |         38 |          4 |          0 |         42 |
| public\backend\ckeditor\plugins\pastetools                                                                            |          2 |         28 |          8 |          0 |         36 |
| public\backend\ckeditor\plugins\pastetools\filter                                                                     |          2 |         28 |          8 |          0 |         36 |
| public\backend\ckeditor\plugins\preview                                                                               |          2 |         20 |          0 |          5 |         25 |
| public\backend\ckeditor\plugins\preview\styles                                                                        |          1 |         10 |          0 |          1 |         11 |
| public\backend\ckeditor\plugins\scayt                                                                                 |          7 |        216 |          0 |         54 |        270 |
| public\backend\ckeditor\plugins\scayt\dialogs                                                                         |          3 |        122 |          0 |          6 |        128 |
| public\backend\ckeditor\plugins\scayt\skins                                                                           |          1 |         21 |          0 |          5 |         26 |
| public\backend\ckeditor\plugins\scayt\skins\moono-lisa                                                                |          1 |         21 |          0 |          5 |         26 |
| public\backend\ckeditor\plugins\smiley                                                                                |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\smiley\dialogs                                                                        |          1 |          7 |          4 |          0 |         11 |
| public\backend\ckeditor\plugins\specialchar                                                                           |         61 |        511 |        244 |          0 |        755 |
| public\backend\ckeditor\plugins\specialchar\dialogs                                                                   |         61 |        511 |        244 |          0 |        755 |
| public\backend\ckeditor\plugins\specialchar\dialogs\lang                                                              |         60 |        501 |        240 |          0 |        741 |
| public\backend\ckeditor\plugins\table                                                                                 |          1 |         18 |          4 |          0 |         22 |
| public\backend\ckeditor\plugins\table\dialogs                                                                         |          1 |         18 |          4 |          0 |         22 |
| public\backend\ckeditor\plugins\tableselection                                                                        |          1 |         26 |          8 |          3 |         37 |
| public\backend\ckeditor\plugins\tableselection\styles                                                                 |          1 |         26 |          8 |          3 |         37 |
| public\backend\ckeditor\plugins\tabletools                                                                            |          1 |         14 |          4 |          0 |         18 |
| public\backend\ckeditor\plugins\tabletools\dialogs                                                                    |          1 |         14 |          4 |          0 |         18 |
| public\backend\ckeditor\plugins\templates                                                                             |          4 |         79 |         18 |         11 |        108 |
| public\backend\ckeditor\plugins\templates\dialogs                                                                     |          2 |         76 |         10 |         10 |         96 |
| public\backend\ckeditor\plugins\templates\templates                                                                   |          1 |          3 |          4 |          0 |          7 |
| public\backend\ckeditor\samples                                                                                       |         50 |      6,696 |        261 |        652 |      7,609 |
| public\backend\ckeditor\samples\css                                                                                   |          1 |      1,629 |          7 |          2 |      1,638 |
| public\backend\ckeditor\samples\img                                                                                   |          1 |         12 |          1 |          1 |         14 |
| public\backend\ckeditor\samples\js                                                                                    |          2 |         42 |         17 |         12 |         71 |
| public\backend\ckeditor\samples\old                                                                                   |         31 |      3,754 |        179 |        476 |      4,409 |
| public\backend\ckeditor\samples\old\assets                                                                            |          3 |        194 |         38 |         41 |        273 |
| public\backend\ckeditor\samples\old\assets\outputxhtml                                                                |          1 |        137 |         30 |         38 |        205 |
| public\backend\ckeditor\samples\old\assets\uilanguages                                                                |          1 |          3 |          4 |          0 |          7 |
| public\backend\ckeditor\samples\old\dialog                                                                            |          2 |        207 |          8 |         25 |        240 |
| public\backend\ckeditor\samples\old\dialog\assets                                                                     |          1 |         42 |          4 |          3 |         49 |
| public\backend\ckeditor\samples\old\easyimage                                                                         |          1 |         93 |          4 |          7 |        104 |
| public\backend\ckeditor\samples\old\enterkey                                                                          |          1 |         97 |          4 |          6 |        107 |
| public\backend\ckeditor\samples\old\htmlwriter                                                                        |          1 |        198 |          4 |         23 |        225 |
| public\backend\ckeditor\samples\old\magicline                                                                         |          1 |        185 |          4 |         21 |        210 |
| public\backend\ckeditor\samples\old\toolbar                                                                           |          1 |        191 |          4 |         41 |        236 |
| public\backend\ckeditor\samples\old\wysiwygarea                                                                       |          1 |         74 |          4 |          3 |         81 |
| public\backend\ckeditor\samples\toolbarconfigurator                                                                   |         14 |      1,144 |         53 |        149 |      1,346 |
| public\backend\ckeditor\samples\toolbarconfigurator\css                                                               |          1 |         28 |         19 |          9 |         56 |
| public\backend\ckeditor\samples\toolbarconfigurator\font                                                              |          2 |         42 |          0 |          0 |         42 |
| public\backend\ckeditor\samples\toolbarconfigurator\js                                                                |          4 |         69 |          0 |          0 |         69 |
| public\backend\ckeditor\samples\toolbarconfigurator\lib                                                               |          6 |        644 |         28 |         59 |        731 |
| public\backend\ckeditor\samples\toolbarconfigurator\lib\codemirror                                                    |          6 |        644 |         28 |         59 |        731 |
| public\backend\ckeditor\skins                                                                                         |         10 |         45 |         36 |         11 |         92 |
| public\backend\ckeditor\skins\moono-lisa                                                                              |         10 |         45 |         36 |         11 |         92 |
| public\backend\ckeditor\vendor                                                                                        |          1 |         13 |          0 |          0 |         13 |
| public\backend\css                                                                                                    |         17 |     14,021 |        173 |        185 |     14,379 |
| public\backend\fonts                                                                                                  |          2 |        973 |          0 |          0 |        973 |
| public\backend\js                                                                                                     |         33 |     21,864 |      3,057 |      4,630 |     29,551 |
| public\frontend                                                                                                       |         26 |     12,029 |        417 |      1,976 |     14,422 |
| public\frontend\css                                                                                                   |         11 |      7,433 |        105 |      1,253 |      8,791 |
| public\frontend\fonts                                                                                                 |          2 |        643 |          0 |          0 |        643 |
| public\frontend\js                                                                                                    |         13 |      3,953 |        312 |        723 |      4,988 |
| resources                                                                                                             |         58 |      4,646 |         66 |        385 |      5,097 |
| resources\css                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                          |          2 |          6 |         19 |          9 |         34 |
| resources\views                                                                                                       |         55 |      4,640 |         47 |        375 |      5,062 |
| resources\views\admin                                                                                                 |         29 |      2,034 |         21 |        113 |      2,168 |
| resources\views\admin\category_post                                                                                   |          3 |        177 |          0 |         11 |        188 |
| resources\views\admin\comment                                                                                         |          1 |         86 |          0 |          3 |         89 |
| resources\views\admin\coupon                                                                                          |          2 |        171 |          0 |         13 |        184 |
| resources\views\admin\custom_auth                                                                                     |          2 |        119 |          0 |         12 |        131 |
| resources\views\admin\delivery                                                                                        |          1 |         53 |          0 |          3 |         56 |
| resources\views\admin\gallery                                                                                         |          1 |         22 |         21 |          1 |         44 |
| resources\views\admin\post                                                                                            |          3 |        223 |          0 |          8 |        231 |
| resources\views\admin\slider                                                                                          |          2 |        111 |          0 |          5 |        116 |
| resources\views\admin\users                                                                                           |          2 |        133 |          0 |         15 |        148 |
| resources\views\pages                                                                                                 |         23 |      1,375 |          6 |        130 |      1,511 |
| resources\views\pages\brand                                                                                           |          1 |         50 |          0 |         10 |         60 |
| resources\views\pages\cart                                                                                            |          2 |        259 |          3 |         16 |        278 |
| resources\views\pages\category                                                                                        |          1 |         69 |          0 |         12 |         81 |
| resources\views\pages\checkout                                                                                        |          7 |        472 |          3 |         32 |        507 |
| resources\views\pages\contact                                                                                         |          1 |         24 |          0 |          5 |         29 |
| resources\views\pages\include                                                                                         |          2 |         78 |          0 |          9 |         87 |
| resources\views\pages\post                                                                                            |          2 |         59 |          0 |         14 |         73 |
| resources\views\pages\product                                                                                         |          3 |        253 |          0 |         25 |        278 |
| routes                                                                                                                |          4 |        186 |         55 |         67 |        308 |
| tests                                                                                                                 |          4 |         41 |         15 |         19 |         75 |
| tests\Feature                                                                                                         |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                            |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                      |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                             |          2 |          7 |          2 |          1 |         10 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\shopbanhanglaravel\.styleci.yml                                                                       | YAML       |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\shopbanhanglaravel\README.md                                                                          | Markdown   |         47 |          0 |         20 |         67 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Console\Kernel.php                                                             | PHP        |         15 |         12 |          6 |         33 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Exceptions\Handler.php                                                         | PHP        |         21 |         23 |          7 |         51 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExcelExports.php                                                       | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Exports\ExportProduct.php                                                      | PHP        |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AdminController.php                                           | PHP        |        128 |         15 |         30 |        173 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\AuthController.php                                            | PHP        |         50 |          1 |         11 |         62 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\BrandProduct.php                                              | PHP        |         95 |          7 |         23 |        125 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CartController.php                                            | PHP        |        212 |          8 |         28 |        248 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryPostController.php                                    | PHP        |         69 |          0 |         20 |         89 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CategoryProduct.php                                           | PHP        |        183 |          5 |         41 |        229 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CheckoutController.php                                        | PHP        |        286 |         17 |         69 |        372 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\ContactController.php                                         | PHP        |         23 |          4 |          9 |         36 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Controller.php                                                | PHP        |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\CouponController.php                                          | PHP        |         46 |          0 |         12 |         58 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\DeliveryController.php                                        | PHP        |         86 |          0 |         11 |         97 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\GalleryController.php                                         | PHP        |         98 |         25 |         14 |        137 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\HomeController.php                                            | PHP        |         56 |          7 |         23 |         86 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\MailController.php                                            | PHP        |        131 |         12 |         43 |        186 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\OrderController.php                                           | PHP        |        239 |          1 |         54 |        294 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PaypalController.php                                          | PHP        |          7 |          1 |          4 |         12 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\PostController.php                                            | PHP        |        138 |          5 |         49 |        192 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\Product.php                                                   | PHP        |        249 |          8 |         48 |        305 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\SliderController.php                                          | PHP        |         72 |          0 |         18 |         90 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Controllers\UserController.php                                            | PHP        |         71 |          0 |         14 |         85 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Kernel.php                                                                | PHP        |         42 |         21 |          8 |         71 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\AccessPermission.php                                           | PHP        |         16 |          7 |          5 |         28 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\Authenticate.php                                               | PHP        |         12 |          6 |          4 |         22 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\EncryptCookies.php                                             | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\Impersonate.php                                                | PHP        |         15 |          7 |          4 |         26 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\PreventRequestsDuringMaintenance.php                           | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\RedirectIfAuthenticated.php                                    | PHP        |         19 |          8 |          6 |         33 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrimStrings.php                                                | PHP        |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrustHosts.php                                                 | PHP        |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\TrustProxies.php                                               | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Http\Middleware\VerifyCsrfToken.php                                            | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Imports\ExcelImports.php                                                       | PHP        |         16 |          5 |          4 |         25 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Imports\ImportProduct.php                                                      | PHP        |         21 |          5 |          4 |         30 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Admin.php                                                               | PHP        |         27 |          0 |          8 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Brand.php                                                               | PHP        |         11 |          0 |          6 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryPost.php                                                        | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\CategoryProductModels.php                                               | PHP        |         19 |          0 |          6 |         25 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\City.php                                                                | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Comment.php                                                             | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Contact.php                                                             | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Coupon.php                                                              | PHP        |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Customer.php                                                            | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\FeeShip.php                                                             | PHP        |         20 |          0 |          5 |         25 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Gallery.php                                                             | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Login.php                                                               | PHP        |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Order.php                                                               | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\OrderDetails.php                                                        | PHP        |         16 |          0 |          5 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Post.php                                                                | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Product.php                                                             | PHP        |         19 |          0 |          6 |         25 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Province.php                                                            | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Rating.php                                                              | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Roles.php                                                               | PHP        |         16 |          0 |          5 |         21 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\RolesUser.php                                                           | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Shipping.php                                                            | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Slider.php                                                              | PHP        |         13 |          0 |          4 |         17 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Social.php                                                              | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\User.php                                                                | PHP        |         23 |         15 |          7 |         45 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Models\Wards.php                                                               | PHP        |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\AppServiceProvider.php                                               | PHP        |         12 |         12 |          5 |         29 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\AuthServiceProvider.php                                              | PHP        |         13 |         12 |          6 |         31 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\BladeServiceProvider.php                                             | PHP        |         29 |         11 |          7 |         47 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\BroadcastServiceProvider.php                                         | PHP        |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\EventServiceProvider.php                                             | PHP        |         21 |         16 |          6 |         43 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Providers\RouteServiceProvider.php                                             | PHP        |         28 |         17 |          8 |         53 |
| c:\xampp\htdocs\shopbanhanglaravel\app\Rules\Captcha.php                                                              | PHP        |         20 |         18 |          6 |         44 |
| c:\xampp\htdocs\shopbanhanglaravel\bootstrap\app.php                                                                  | PHP        |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\shopbanhanglaravel\composer.json                                                                      | JSON       |         69 |          0 |          1 |         70 |
| c:\xampp\htdocs\shopbanhanglaravel\composer.lock                                                                      | JSON       |      9,110 |          0 |          1 |      9,111 |
| c:\xampp\htdocs\shopbanhanglaravel\config\app.php                                                                     | PHP        |         55 |        134 |         35 |        224 |
| c:\xampp\htdocs\shopbanhanglaravel\config\auth.php                                                                    | PHP        |         38 |         66 |         14 |        118 |
| c:\xampp\htdocs\shopbanhanglaravel\config\broadcasting.php                                                            | PHP        |         35 |         23 |         13 |         71 |
| c:\xampp\htdocs\shopbanhanglaravel\config\cache.php                                                                   | PHP        |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\shopbanhanglaravel\config\cors.php                                                                    | PHP        |          3 |         29 |          3 |         35 |
| c:\xampp\htdocs\shopbanhanglaravel\config\database.php                                                                | PHP        |         83 |         47 |         22 |        152 |
| c:\xampp\htdocs\shopbanhanglaravel\config\filesystems.php                                                             | PHP        |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\shopbanhanglaravel\config\hashing.php                                                                 | PHP        |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\shopbanhanglaravel\config\logging.php                                                                 | PHP        |         70 |         34 |         19 |        123 |
| c:\xampp\htdocs\shopbanhanglaravel\config\mail.php                                                                    | PHP        |         60 |         47 |         21 |        128 |
| c:\xampp\htdocs\shopbanhanglaravel\config\paypal.php                                                                  | PHP        |         19 |          4 |          3 |         26 |
| c:\xampp\htdocs\shopbanhanglaravel\config\queue.php                                                                   | PHP        |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\shopbanhanglaravel\config\sanctum.php                                                                 | PHP        |         15 |         41 |         12 |         68 |
| c:\xampp\htdocs\shopbanhanglaravel\config\services.php                                                                | PHP        |         27 |         11 |         12 |         50 |
| c:\xampp\htdocs\shopbanhanglaravel\config\session.php                                                                 | PHP        |         22 |        147 |         33 |        202 |
